city_ascii,province_id,lat,lng,postal
Regina,SK,50.4547,-104.6067,S4N S4T S4V S4W S4P S4R S4S S4X S4Y S4Z
Oakville,ON,43.45,-79.6833,L6M L6L L6H L6K L6J
Richmond,BC,49.1667,-123.1333,V6Y V6X V6W V6V V7E V7A V7B V7C
Richmond Hill,ON,43.8667,-79.4333,L4S L4C L4B L4E
Burlington,ON,43.3167,-79.8,L7R L7S L7P L7T L7N L7L L7M
St. John's,NL,47.4817,-52.7971,A1H A1S A1E A1G A1A A1C A1B
Kelowna,BC,49.8881,-119.4956,V1X V1Y V1P V1W V1V
Sherbrooke,QC,45.4,-71.9,J1N J1L J1M J1J J1K J1H J1G J1E J1C J1R
Sudbury,ON,46.49,-81.01,P0M P3N P3L P3B P3C P3A P3G P3Y P3P
Barrie,ON,44.3711,-79.6769,L9J L4N L4M
Abbotsford,BC,49.05,-122.3167,V4X V2T V2S V3G
Levis,QC,46.8,-71.1833,G7A G6J G6K G6C G6Z G6X G6Y G6V G6W
Coquitlam,BC,49.2839,-122.7919,V3C V3E V3B V3J V3K
Saguenay,QC,48.4167,-71.0667,G8A G7T G7Z G7G G7B G7N G7H G7K G7J G7P G7S G7Y G7X
Guelph,ON,43.55,-80.25,N1C N1G N1E N1K N1H N1L
Trois-Rivieres,QC,46.35,-72.55,G9C G9B G9A G8T G8V G8W G8Y G8Z
Whitby,ON,43.8833,-78.9417,L0B L1P L1R L1M L1N
Cambridge,ON,43.3972,-80.3114,N3H N3C N3E N1R N1S N1P N1T
Milton,ON,43.5083,-79.8833,L7J L0P L9T L9E
Ajax,ON,43.8583,-79.0364,L1Z L1T L1S
Waterloo,ON,43.4667,-80.5167,N2K N2J N2L N2V N2T
Terrebonne,QC,45.7,-73.6333,J6Y J6X J6W J7M J6V
Moncton,NB,46.1328,-64.7714,E1H E1A E1C E1E E1G
Saanich,BC,48.484,-123.381,V9A V8N V8Z V8P V9E V8Y V8X V8R
White Rock,BC,49.025,-122.8028,V4B
Thunder Bay,ON,48.3822,-89.2461,P7G P7E P7B P7C P7J P7K
Delta,BC,49.0847,-123.0586,V4C V4E V4G V4K V4M V4L
Nanaimo,BC,49.1642,-123.9364,V9R V9S V9V V9T
Brantford,ON,43.1667,-80.25,N3P N3R N3S N3T N3V
Chatham,ON,42.4229,-82.1324,N8A N0P N7L N7M
Clarington,ON,43.935,-78.6083,L0B L0A L1E L1B L1C
Saint-Jerome,QC,45.7833,-74.0,J7Y J7Z J5L
Red Deer,AB,52.2681,-113.8111,T4S T4R T4P T4N
Pickering,ON,43.8354,-79.089,L0H L1X L1Y L1V L1W
Lethbridge,AB,49.6942,-112.8328,T1H T1J T1K
Kamloops,BC,50.6761,-120.3408,V2E V2C V1S V2B
Saint-Jean-sur-Richelieu,QC,45.3167,-73.2667,J2W J2Y J2X J3A J3B
Niagara Falls,ON,43.06,-79.1067,L0S L2E L2G L2H L2J L3B
Cape Breton,NS,46.1389,-60.1931,B2A B1S B1V B1G B1B B1C B1A B1L B1M B1K B1H B1T B1R B1P B1Y B1E B1N B1J
Chilliwack,BC,49.1577,-121.9509,V4Z V2R V2P
Brossard,QC,45.4667,-73.45,J4Y J4X J4Z J4W
Maple Ridge,BC,49.2167,-122.6,V4R V2W V2X
Newmarket,ON,44.05,-79.4667,L3X L3Y
Repentigny,QC,45.7333,-73.4667,J6A J5Z J5Y
Peterborough,ON,44.3,-78.3167,K9K K9J K9H K9L
Drummondville,QC,45.8833,-72.4833,J2E J2C J2B J2A J1Z
Kawartha Lakes,ON,44.35,-78.75,L0K L0B L0A K9V K0M
New Westminster,BC,49.2069,-122.9111,V3L V3M
Prince George,BC,53.9169,-122.7494,V2L V2K V2N V2M
Caledon,ON,43.8667,-79.8667,L7K L7C L7E
Chateauguay,QC,45.38,-73.75,J6K J6J
Belleville,ON,44.1667,-77.3833,K8N K8P K0K
Airdrie,AB,51.2917,-114.0144,T4B T4A
Sarnia,ON,42.9994,-82.3089,N7T N7V N7W N7S N7X
Wood Buffalo,AB,57.6042,-111.3284,T9H T9K T9J T0P
Sault Ste. Marie,ON,46.5333,-84.35,P6A P6C P6B
Saint John,NB,45.2806,-66.0761,E2P E2L E2M E2N E2H E2J E2K
Welland,ON,42.9833,-79.2333,L3B L3C
Granby,QC,45.4,-72.7333,J2G J2J J2H
St. Albert,AB,53.6303,-113.6258,T8N
Fredericton,NB,45.9636,-66.6431,E3G E3C E3B E3A
Grande Prairie,AB,55.1708,-118.7947,T8V T8X T8W
Medicine Hat,AB,50.0417,-110.6775,T1A T1B T1C
Halton Hills,ON,43.63,-79.95,L7J L7G L0P L9T
Aurora,ON,44.0,-79.4667,L4G
Port Coquitlam,BC,49.2625,-122.7811,V3C V3B
Mirabel,QC,45.65,-74.0833,J7J J7N
Blainville,QC,45.67,-73.88,J7B J7C
Lac-Brome,QC,45.2167,-72.5167,J0E
North Vancouver,BC,49.3201967175102,-123.069940224484,V7L V7M
Saint-Hyacinthe,QC,45.6167,-72.95,J2T J2S J2R
Beloeil,QC,45.5667,-73.2,J3G
North Bay,ON,46.3,-79.45,P1A P1B P1C
Charlottetown,PE,46.2403,-63.1347,C1C C1A C1E
Vernon,BC,50.267,-119.272,V1T V1H
Brandon,MB,49.8483,-99.95,R7A R7B R7C
Mascouche,QC,45.75,-73.6,J7K J7L
Stouffville,ON,43.9667,-79.25,L4A
Shawinigan,QC,46.5667,-72.75,G9N G9T G9R G9P G0X
Joliette,QC,46.0167,-73.45,J6E
Rimouski,QC,48.45,-68.53,G5N G5M G5L G0L
Courtenay,BC,49.6878,-124.9944,V9N
Dollard-des-Ormeaux,QC,45.4833,-73.8167,H9A H9B H9G
Cornwall,ON,45.0275,-74.74,K6J K6K K6H
Victoriaville,QC,46.05,-71.9667,G6R G6P G6T
Georgina,ON,44.3,-79.4333,L0E L4P
Woodstock,ON,43.1306,-80.7467,N4S N4T N4V
Langford Station,BC,48.4506,-123.5058,V9B V9C
Quinte West,ON,44.1833,-77.5667,K8N K8R K8V K0K
St. Thomas,ON,42.775,-81.1833,N5R N5P
Saint-Eustache,QC,45.57,-73.9,J7P J7R
West Vancouver,BC,49.3667,-123.1667,V7T V7V V7S
New Tecumseth,ON,44.0833,-79.75,L0L L0G L9R
Innisfil,ON,44.3,-79.5833,L0L L9S
Vaudreuil-Dorion,QC,45.4,-74.0333,J7V
Bradford West Gwillimbury,ON,44.1333,-79.6333,L0G L3Z
Salaberry-de-Valleyfield,QC,45.25,-74.13,J6S J6T
Rouyn-Noranda,QC,48.2333,-79.0167,J9X J9Y J0Y J0Z
Boucherville,QC,45.6,-73.45,J4B
Mission,BC,49.1337,-122.3112,V4S V2V
Timmins,ON,48.4667,-81.3333,P0N P4N P4R P4P
Lakeshore,ON,42.2399,-82.6511,N8M N8N N9K N0P N0R
Brant,ON,43.1167,-80.3667,N3L N3T N3W N0E
Spruce Grove,AB,53.545,-113.9008,T7X
Campbell River,BC,50.0244,-125.2475,V9H V9W
Prince Albert,SK,53.2,-105.75,S6X S6V S6W
Penticton,BC,49.4911,-119.5886,V2A
Sorel-Tracy,QC,46.0333,-73.1167,J3P J3R
East Kelowna,BC,49.8625,-119.5833,V1Z V4T
Leamington,ON,42.0667,-82.5833,N8H N0P
East Gwillimbury,ON,44.1333,-79.4167,L0G L9N
Cote-Saint-Luc,QC,45.4687,-73.6673,H4W H4V H4X
Orangeville,ON,43.9167,-80.1167,L9W
Leduc,AB,53.2594,-113.5492,T9E
Moose Jaw,SK,50.3933,-105.5519,S6J S6K S6H
Port Moody,BC,49.2831,-122.8317,V3H
Pointe-Claire,QC,45.45,-73.8167,H9R H9S
Orillia,ON,44.6,-79.4167,L3V
Stratford,ON,43.3708,-80.9819,N4Z N5A
Fort Erie,ON,42.9167,-79.0167,L0S L2A
Val-d'Or,QC,48.1,-77.7833,J9P
LaSalle,ON,42.2167,-83.0667,N9J N9H
Cochrane,AB,51.189,-114.467,T4C
North Cowichan,BC,48.8236,-123.7192,V0R V9L
Lloydminster,SK,53.2783,-110.005,S9V
Chambly,QC,45.4311,-73.2873,J3L
Centre Wellington,ON,43.7,-80.3667,N0B N1M
Okotoks,AB,50.725,-113.975,T1S
Alma,QC,48.55,-71.65,G8E G8B G8C
Sainte-Julie,QC,45.5833,-73.3333,J3E
Saint-Constant,QC,45.37,-73.57,J5A
Langley,BC,49.0986908053773,-122.659728692569,V3A
Grimsby,ON,43.2,-79.55,L3M
Magog,QC,45.2667,-72.15,J1X
Boisbriand,QC,45.62,-73.83,J7H J7E J7G
Whitehorse,YT,60.7029,-135.0691,Y1A
Dieppe,NB,46.0989,-64.7242,E1A
King,ON,44.0463,-79.6044,L7B L0G L3Y
Parksville,BC,49.315,-124.312,V9P
Conception Bay South,NL,47.5167,-52.9833,A1W A1X
Fort Saskatchewan,AB,53.7128,-113.2133,T8L
Woolwich,ON,43.5667,-80.4833,N2J N3B N0B
Sainte-Therese,QC,45.6333,-73.85,J7E
Clarence-Rockland,ON,45.4833,-75.2,K4K K0A
La Prairie,QC,45.42,-73.5,J5R
Saint-Bruno-de-Montarville,QC,45.5333,-73.35,J3V
Midland,ON,44.75,-79.8833,L4R
Thetford Mines,QC,46.1,-71.3,G6H G6G
Lincoln,ON,43.13,-79.43,L0R L2R
Quispamsis,NB,45.4322,-65.9462,E2S E2E E2G
Wasaga Beach,ON,44.5206,-80.0167,L9Z
Collingwood,ON,44.5,-80.2167,L9Y
Sept-Iles,QC,50.2167,-66.3833,G4S G0G
Duncan,BC,48.7787,-123.7079,V9L
Hudson,QC,45.45,-74.15,J0P
Saint-Lin--Laurentides,QC,45.85,-73.7667,J5M
Strathroy-Caradoc,ON,42.9575,-81.6167,N0L N7G
Squamish,BC,49.7017,-123.1589,V0N V8B
Thorold,ON,43.1167,-79.2,L0S L2V L3B
Truro,NS,45.3647,-63.28,B2N
Amherstburg,ON,42.1,-83.0833,N9V N0R
L'Assomption,QC,45.8333,-73.4167,J5W
Tecumseh,ON,42.2431,-82.9256,N8N N9K N0R
Candiac,QC,45.38,-73.52,J5R
Essa,ON,44.25,-79.7833,L0M L0L L9R
Paradise,NL,47.5333,-52.8667,A1L
Saint-Lambert,QC,45.5,-73.5167,J4P J4S J4R
Mount Pearl Park,NL,47.5189,-52.8058,A1N
Saint-Lazare,QC,45.4,-74.1333,J7T
Owen Sound,ON,44.5667,-80.9333,N4K
Brockville,ON,44.5833,-75.6833,K6V
Chestermere,AB,51.05,-113.8225,T1X
Kingsville,ON,42.1,-82.7167,N8M N9Y N0P N0R
Port Alberni,BC,49.2339,-124.805,V9Y
Springwater,ON,44.4333,-79.7333,L0L L9X
Scugog,ON,44.09,-78.936,L0C L0B L9L
Uxbridge,ON,44.1167,-79.1333,L0E L0C L9P
Fort St. John,BC,56.2465,-120.8476,V1J
Wilmot,ON,43.4,-80.65,N3A N0B
Essex,ON,42.0833,-82.9,N8M N0R
Varennes,QC,45.6833,-73.4333,J3X
Oro-Medonte,ON,44.5667,-79.5833,L0L L0K L3V L4R L4M
Mont-Royal,QC,45.5161,-73.6431,H3R H3P H4P
Beaumont,AB,53.3572,-113.4147,T4X
Baie-Comeau,QC,49.2167,-68.15,G5C G4Z
Riverview,NB,46.0613,-64.8052,E1B
Cobourg,ON,43.9667,-78.1667,K9A
Cranbrook,BC,49.5097,-115.7667,V1C
Yellowknife,NT,62.4709,-114.4053,X1A
South Frontenac,ON,44.5081,-76.4939,K0H
Riviere-du-Loup,QC,47.8333,-69.5333,G5R
Port Colborne,ON,42.8833,-79.25,L0S L3K
Saint-Augustin-de-Desmaures,QC,46.7333,-71.4667,G3A
Huntsville,ON,45.3333,-79.2167,P0B P1H
Sainte-Marthe-sur-le-Lac,QC,45.53,-73.93,J0N
Lloydminster,AB,53.2807,-110.035,T9V
Westmount,QC,45.4833,-73.6,H3Z H3Y
Russell,ON,45.2569,-75.3583,K4R K0A
Les Coteaux,QC,45.28,-74.23,J7X
Salmon Arm,BC,50.7022,-119.2722,V1E
Kirkland,QC,45.45,-73.8667,H9H H9J
Corner Brook,NL,48.9287,-57.926,A2H
New Glasgow,NS,45.5926,-62.6455,B2H
Dorval,QC,45.45,-73.75,H9P H9S
Beaconsfield,QC,45.4333,-73.8667,H9W
Pitt Meadows,BC,49.2333,-122.6833,V3Y
Niagara-on-the-Lake,ON,43.2553,-79.0717,L0S
Colwood,BC,48.4236,-123.4958,V9B V9C
Middlesex Centre,ON,43.05,-81.45,N0M N0L N6P N6H
Mont-Saint-Hilaire,QC,45.5622,-73.1917,J3H
Camrose,AB,53.0167,-112.8333,T4V
Selwyn,ON,44.4167,-78.3333,K9J K9L K0L
Tillsonburg,ON,42.8667,-80.7333,N4G
Pelham,ON,43.0333,-79.3333,L0S
Petawawa,ON,45.9,-77.2833,K8H
Stony Plain,AB,53.5264,-114.0069,T7Z
Oak Bay,BC,48.4264,-123.3228,V8P V8S V8R
North Grenville,ON,44.9667,-75.65,K0G
Loyalist,ON,44.25,-76.75,K7N K7R K0H
Deux-Montagnes,QC,45.5333,-73.8833,J7R
Steinbach,MB,49.5258,-96.6839,R5G
Saint-Colomban,QC,45.73,-74.13,J5K
Miramichi,NB,47.0196,-65.5072,E1V E1N
Esquimalt,BC,48.4306,-123.4147,V9A
Central Saanich,BC,48.5142,-123.3839,V8M
Sainte-Catherine,QC,45.4,-73.58,J5C
Port Hope,ON,43.95,-78.3,L0A L1A
Inverness,NS,46.2,-61.1,B0E
Saint-Basile-le-Grand,QC,45.5333,-73.2833,J3N
L'Ancienne-Lorette,QC,46.8,-71.35,G2E
Swift Current,SK,50.2881,-107.7939,S9H
Pembroke,ON,45.8167,-77.1,K8A
Edmundston,NB,47.3765,-68.3253,E7C E7B E3V
Yorkton,SK,51.2139,-102.4628,S3N
Springfield,MB,49.9292,-96.6939,R5N R5L R5M R5R R5P R5T
Sylvan Lake,AB,52.3083,-114.0964,T4S
Bracebridge,ON,45.0333,-79.3,P1L
Summerside,PE,46.4,-63.7833,C1N C0B
Canmore,AB,51.089,-115.359,T1W
Bathurst,NB,47.62,-65.65,E2A
Greater Napanee,ON,44.25,-76.95,K7R K0H K0K
Lake Country,BC,50.0833,-119.4142,V4V
Hanover,MB,49.4433,-96.8492,R5G R0A
Winkler,MB,49.1817,-97.9397,R6W
Saint-Charles-Borromee,QC,46.05,-73.4667,J6E
Cowansville,QC,45.2,-72.75,J2K
Sainte-Anne-des-Plaines,QC,45.7617,-73.8204,J0N
Gaspe,QC,48.8333,-64.4833,G4X
Sooke,BC,48.3761,-123.7378,V9Z
Kenora,ON,49.7667,-94.4833,P9N
Cold Lake,AB,54.4642,-110.1825,T9M
Brooks,AB,50.5642,-111.8989,T1R
Kentville,NS,45.0775,-64.4958,B4N
Comox,BC,49.6733,-124.9022,V0R V9M
Pincourt,QC,45.3833,-73.9833,J7W
Mississippi Mills,ON,45.2167,-76.2,K7C K0A
St. Clair,ON,42.7833,-82.35,N8A N0N N0P
Terrace,BC,54.5164,-128.5997,V8G
Mercier,QC,45.32,-73.75,J6R
West Lincoln,ON,43.0667,-79.5667,L0R
Lavaltrie,QC,45.8833,-73.2833,J5T
West Nipissing / Nipissing Ouest,ON,46.3667,-79.9167,P0H P1B P2B
Strathmore,AB,51.0378,-113.4003,T1P
High River,AB,50.5808,-113.8744,T1V
Clearview,ON,44.3981,-80.0742,L0M L9Y
Lachute,QC,45.65,-74.3333,J8H
Rosemere,QC,45.6369,-73.8,J7A
Matane,QC,48.85,-67.5333,G4W
Thames Centre,ON,43.03,-81.08,N0M N0L N6M
Powell River,BC,49.8353,-124.5247,V8A
Carleton Place,ON,45.1333,-76.1333,K7C
Guelph/Eramosa,ON,43.63,-80.22,N0B N1E N1H
Grand Falls,NL,48.9578,-55.6633,A2A A2B
North Battleford,SK,52.7575,-108.2861,S9A
Mont-Laurier,QC,46.55,-75.5,J9L
Central Elgin,ON,42.7667,-81.1,N5R N5P N5L N0L
Mistassini,QC,48.8229,-72.2154,G8L
Saugeen Shores,ON,44.4333,-81.3667,N0H
Ingersoll,ON,43.0392,-80.8836,N5C
Beauharnois,QC,45.32,-73.87,J6N
South Stormont,ON,45.0833,-74.9667,K0C
Becancour,QC,46.3333,-72.4333,G9H
Severn,ON,44.75,-79.5167,L0K P0E L3V
Lacombe,AB,52.4683,-113.7369,T4L
Sainte-Sophie,QC,45.82,-73.9,J5J
Val-des-Monts,QC,45.65,-75.6667,J8N
Saint-Amable,QC,45.65,-73.3,J0L
Portage La Prairie,MB,49.9728,-98.2919,R1N
South Glengarry,ON,45.2,-74.5833,K6H K0C
Sainte-Marie,QC,46.45,-71.0333,G6E
North Perth,ON,43.73,-80.95,N4W N0K N0G
Thompson,MB,55.7433,-97.8553,R8N
Trent Hills,ON,44.3142,-77.8514,K0K K0L
Trail,BC,49.095,-117.71,V1R
The Nation / La Nation,ON,45.35,-75.0333,K0A K0B K0C
Amos,QC,48.5667,-78.1167,J9T
Wetaskiwin,AB,52.9694,-113.3769,T9A
West Grey,ON,44.1833,-80.8167,N4N N0G N0C
Warman,SK,52.3219,-106.5842,S0K
Dawson Creek,BC,55.7606,-120.2356,V1G
Sidney,BC,48.6506,-123.3986,V8L
Gravenhurst,ON,44.9167,-79.3667,P0E P1P
Prince Rupert,BC,54.3122,-130.3271,V8J
Perth East,ON,43.47,-80.95,N4W N5A N3A N0K N0B
North Saanich,BC,48.6142,-123.42,V8L
Prevost,QC,45.87,-74.08,J0R
Sainte-Adele,QC,45.95,-74.13,J8B
Sainte-Agathe-des-Monts,QC,46.05,-74.28,J8C
Quesnel,BC,52.9784,-122.4927,V2J
Les Iles-de-la-Madeleine,QC,47.3833,-61.8667,G4T
Tache,MB,49.7081,-96.6736,R5J R5K R0A
Wellington North,ON,43.9,-80.57,N0G
St. Andrews,MB,50.27,-96.9747,R0C R1A
Williams Lake,BC,52.1294,-122.1383,V2G
Gander,NL,48.9569,-54.6089,A1V
Whistler,BC,50.1208,-122.9544,V8E
Brighton,ON,44.1222,-77.7642,K0K
Tiny,ON,44.6833,-79.95,L0L L9M
Hawkesbury,ON,45.6,-74.6,K6A
Carignan,QC,45.45,-73.3,J3L
Brock,ON,44.3167,-79.0833,L0K L0E L0C
L'Ile-Perrot,QC,45.3833,-73.95,J7V
Summerland,BC,49.6006,-119.6778,V0H
St. Clements,MB,50.2689,-96.6742,R0E R1B R1C R1A
View Royal,BC,48.4517,-123.4339,V9B
Montmagny,QC,46.9833,-70.55,G5V
Cantley,QC,45.5667,-75.7833,J8V
Erin,ON,43.7667,-80.0667,L7J L0N N0B
Notre-Dame-de-l'Ile-Perrot,QC,45.3667,-73.9333,J7V
Kincardine,ON,44.1667,-81.6333,N2Z N0G
Elliot Lake,ON,46.3833,-82.65,P5A
Bromont,QC,45.3167,-72.65,J2L
Arnprior,ON,45.4333,-76.35,K7S
North Dundas,ON,45.0833,-75.35,K0C K0E
Wellesley,ON,43.55,-80.7167,N0B
Nelson,BC,49.5,-117.2833,V0G V1L
Ladysmith,BC,48.9975,-123.8203,V9G
Coldstream,BC,50.22,-119.2481,V1B
Georgian Bluffs,ON,44.65,-81.0333,N4K N0H
Weyburn,SK,49.6611,-103.8525,S4H
La Tuque,QC,48.0652,-74.0528,G9X G0X
Norwich,ON,42.9833,-80.6,N4S N4G N0J
Meaford,ON,44.58,-80.73,N4K N4L N0H
Adjala-Tosorontio,ON,44.1333,-79.9333,L0N L0M L0G L9R
Hamilton Township,ON,44.054,-78.2164,K9A K0K K0L
Stratford,PE,46.2167,-63.0893,C1B
Estevan,SK,49.1392,-102.9861,S4A
South Dundas,ON,44.9167,-75.2667,K0C K0E
Lambton Shores,ON,43.1833,-81.9,N0M N0N
North Dumfries,ON,43.32,-80.38,N0B N1R
Martensville,SK,52.2897,-106.6667,S0K
Mapleton,ON,43.7358,-80.6681,N0G N0B
Rawdon,QC,46.05,-73.7167,J0K
Morinville,AB,53.8022,-113.6497,T8R
Blackfalds,AB,52.3833,-113.8,T0M T4M
Chester,NS,44.65,-64.3,B0J
Queens,NS,44.0333,-64.7167,B0T
Selkirk,MB,50.1436,-96.8839,R1A
Saint-Felicien,QC,48.65,-72.45,G8K
Roberval,QC,48.52,-72.23,G8H
Rideau Lakes,ON,44.6667,-76.2167,K7A K0E K0G
Sechelt,BC,49.4742,-123.7542,V0N
Bois-des-Filion,QC,45.6667,-73.75,J6Z
North Glengarry,ON,45.3333,-74.7333,K0B K0C
South Huron,ON,43.32,-81.5,N0M N0K
Marieville,QC,45.4333,-73.1667,J3M
Penetanguishene,ON,44.7667,-79.9333,L9M
Tay,ON,44.7167,-79.7667,L0K L4R
Castlegar,BC,49.3256,-117.6661,V1N
Cavan Monaghan,ON,44.2,-78.4667,L0A K0L
Morden,MB,49.1919,-98.1006,R6M
Temiskaming Shores,ON,47.5167,-79.6833,P0J
Hinton,AB,53.4114,-117.5639,T7V
Saint-Sauveur,QC,45.9,-74.17,J0R
Grey Highlands,ON,44.3333,-80.5,N4L N0C
East St. Paul,MB,49.9772,-97.0103,R2E
Stoneham-et-Tewkesbury,QC,47.1667,-71.4333,G3C
Alfred and Plantagenet,ON,45.5667,-74.9167,K0B
Mont-Tremblant,QC,46.1167,-74.6,J8E
Saint-Zotique,QC,45.25,-74.25,J0P
Saint-Raymond,QC,46.9,-71.8333,G3L
Gibsons,BC,49.4028,-123.5036,V0N
Amherst,NS,45.8167,-64.2167,B4H
Elizabethtown-Kitley,ON,44.7,-75.8833,K6V K6T K0E K0G
Smiths Falls,ON,44.9,-76.0167,K7A
Lorraine,QC,45.6833,-73.7833,J6Z
Ramara,ON,44.6333,-79.2167,L0K L3V
Notre-Dame-des-Prairies,QC,46.05,-73.4333,J6E
Leeds and the Thousand Islands,ON,44.45,-76.08,K7G K0E
Brockton,ON,44.1667,-81.2167,N0G
Laurentian Valley,ON,45.7681,-77.2239,K8A K8B
Mono,ON,44.0167,-80.0667,L9V L9W
Sainte-Julienne,QC,45.97,-73.72,J0K
Qualicum Beach,BC,49.35,-124.4333,V9K
Malahide,ON,42.7928,-80.9361,N5H N0L
Oromocto,NB,45.8488,-66.4788,E2V
Whitecourt,AB,54.1417,-115.6833,T7S
Olds,AB,51.7928,-114.1067,T4H
Huron East,ON,43.63,-81.28,N4W N0M N0K N0G
Beckwith,ON,45.0833,-76.0667,K7A K7C K0A
Labrador City,NL,52.95,-66.9167,A2V
Shelburne,ON,44.0833,-80.2,L9V
Stanley,MB,49.1331,-98.0656,R6M R6W
Taber,AB,49.7847,-112.1508,T1G
Donnacona,QC,46.6747,-71.7294,G3M
Corman Park No. 344,SK,52.2291,-106.8002,S0K S7K S7P S7T
L'Epiphanie,QC,45.8482664184978,-73.506054079174,J5X
West Perth,ON,43.47,-81.2,N0K
Campbellton,NB,48.005,-66.6731,E3N
Bridgewater,NS,44.37,-64.52,B4V
Coaldale,AB,49.7333,-112.6167,T1M
